gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
536-3,536,MBE2DI01,,diesel,8.564,11.76,1,,,sin_match,sin_conexion,,,-1,
536-5,536,MBE2DI01,,diesel,8.5,11.76,0,,,sin_match,sin_conexion,,,-1,
619-2,619,MBE2DI02,,diesel,8.564,11.76,1,,,sin_match,sin_conexion,,,-1,
619-4,619,MBE2DI02,,diesel,8.5,11.76,0,,,sin_match,sin_conexion,,,-1,
621-1,621,FLECEO01,,wind,39.0,78.0,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,6,FLECEO01 -> FLECEO01_33 -> LA FLECHA -> AL-CEA -> APPA330A -> PMADR330 -> NPMAD330
622-2,622,FLECEO02,,wind,39.0,78.0,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,6,FLECEO02 -> FLECEO02_33 -> LA FLECHA -> AL-CEA -> APPA330A -> PMADR330 -> NPMAD330
623-3,623,FLECEO03,,wind,39.0,78.0,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,6,FLECEO03 -> FLECEO03_33 -> LA FLECHA -> AL-CEA -> APPA330A -> PMADR330 -> NPMAD330
624-4,624,FLECEO04,,wind,39.0,78.0,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,6,FLECEO04 -> FLECEO04_33 -> LA FLECHA -> AL-CEA -> APPA330A -> PMADR330 -> NPMAD330
627-1,627,ALUEO04,,wind,11.0,22.5,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,8,ALUEO04 -> WTG2A_HV -> WTG2_MV -> PEALUAUX -> PE_ALUAR -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
629-1,629,ALUEO06,,wind,16.0,31.5,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,8,ALUEO06 -> WTG1A_HV -> WTG3_MV -> PEALUAUX -> PE_ALUAR -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
1608-1,1608,GPICFV,,solar,20.0,25.0,1,,,sin_match,bfs,1289.0,MACACHIN_132kV,5,GPICFV -> GEN.PICO_33 -> GEN.PICO -> M.MAYER -> S. ROSA -> MACACHIN
1615-1,1615,CUTRFV01,,solar,2.48,3.1,1,,,sin_match,bfs,1240.0,CHOCON_132kV,4,CUTRFV01 -> CUTRALCO13 -> CUTRALCO -> CHNCITO -> CHOCON
1616-1,1616,PLEUEO01,,wind,50.0,100.0,1,,,sin_match,bfs,1240.0,CHOCON_132kV,5,PLEUEO01 -> PE P LEUFU -> PE P LEUFU -> PE P LEUFU -> CHNCITO -> CHOCON
1693-G,1693,HUIN.CC,,ccgt,100.0,308.0,0,,,sin_match,sin_conexion,,,-1,
1693-V,1693,HUIN.CC,,ccgt,60.0,178.5,0,,,sin_match,sin_conexion,,,-1,
2617-1,2617,OLAVEO01,,wind,49.5,99.0,1,,,sin_match,bfs,2298.0,OLAVARRI_132kV_2,4,OLAVEO01 -> OLAV33_02 -> OLAV33_01 -> LA CHINA -> OLAVARR2
2634-3,2634,BRAGTG34,,ocgt,29.0,30.0,1,,,sin_match,bfs,2104.0,HENDERS2_220kV,3,BRAGTG34 -> BRAGADO1 -> BRAGADO -> HENDERSO
