gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,falta,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino,COMENTARIOS
2673-3,2673,SNICTV13,SAN NICOLAS,ok,steam,50,75,1,-33.3562093,-60.17302726,exacto,manual,2105,RAMALLO_220kV,-1,,
621-1,621,FLECEO01,,geo,wind,39,78,1,,,sin_match,bfs,224,NPMADRYN_330kV,6,FLECEO01 -> FLECEO01_33 -> LA FLECHA -> AL-CEA -> APPA330A -> PMADR330 -> NPMAD330,
3664-4,3664,NPUETV04,NUEVO PUERTO,ok,steam,33,60,0,-34.57170662,-58.38211451,exacto,manual,3122,RODRGUEZ_220kV_2,-1,,
7652-2,7652,LDCUTV12,LUJAN DE CUYO,ok,steam,55,60,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTV12 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
7651-1,7651,LDCUTV11,LUJAN DE CUYO,ok,steam,59,60,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTV11 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
6610-1,6610,SLV2FV01,,geo,solar,35,100,1,,,sin_match,bfs,6286,LUJAN.SL_132kV_2,5,SLV2FV01 -> PS LS II -> PS LS II -> PS LS II -> CANDELARIA -> LUJAN.SL,
2670-1,2670,SIDETV,,geo,steam,35,35,1,,,sin_match,bfs,2292,CAMPANA_132kV_1,2,SIDETV -> DALMINE1 -> NCAMP1,
2906-1,2906,CASAEO01,,geo,wind,31.5,63,1,,,sin_match,bfs,2296,OLAVARRI_132kV_1,3,CASAEO01 -> CAL.AVEL -> L.NEGRA -> OLAVARR1,
4638-1,4638,ASECTG02,C.T. ARROYO SECO,ok,ocgt,43.2,54,1,-33.1257655,-60.523892,exacto,manual,4282,R.OESTE_132kV_1,-1,,
4637-1,4637,ASECTG01,C.T. ARROYO SECO,ok,ocgt,43.2,54,1,-33.1257655,-60.523892,exacto,manual,4282,R.OESTE_132kV_1,-1,,
692-2,692,MANAEO02,MANANTIALES BEHR (YPF),ok,wind,25.932,51.75,1,-45.65135524,-67.75426158,exacto,manual,461,SCN_500_132kV,-1,,
691-1,691,MANAEO01,MANANTIALES BEHR (YPF),ok,wind,25.932,51.75,1,-45.65135524,-67.75426158,exacto,manual,461,SCN_500_132kV,-1,,
688-2,688,LOM6EO01,P.E. L. BLANCA 6,ok,wind,25.932,50.4,1,-42.90473517,-65.35519946,exacto,manual,221,NPMADRYN_132kV,-1,,
